GO_t term CLIN_Pr NOCLIN_Pr CLIN_Abs NOCLIN_Abs
GO 2759 0 1 45 96
GO 2760 0 1 45 96
GO 2784 0 1 45 96
GO 2788 0 1 45 96
GO 2790 45 97 0 0
GO 2804 0 1 45 96
GO 2805 0 1 45 96
GO 2807 0 1 45 96
GO 2810 0 1 45 96
GO 2831 0 1 45 96
GO 2833 0 1 45 96
GO 2920 0 1 45 96
GO 2922 0 1 45 96
GO 2935 45 96 0 1
GO 2937 45 95 0 2
GO 2938 22 65 23 32
GO 2939 44 96 1 1
GO 2943 45 97 0 0
GO 2949 45 97 0 0
GO 2953 45 83 0 14
GO 3006 0 3 45 94
GO 3333 45 97 0 0
GO 3382 0 1 45 96
GO 3674 45 97 0 0
GO 3676 45 97 0 0
GO 3677 45 97 0 0
GO 3678 45 97 0 0
GO 3681 45 95 0 2
GO 3684 45 97 0 0
GO 3688 45 97 0 0
GO 3690 45 97 0 0
GO 3697 45 97 0 0
GO 3700 45 97 0 0
GO 3723 45 97 0 0
GO 3724 45 97 0 0
GO 3725 45 97 0 0
GO 3727 45 97 0 0
GO 3729 45 97 0 0
GO 3730 45 97 0 0
GO 3735 45 97 0 0
GO 3743 45 97 0 0
GO 3746 45 97 0 0
GO 3747 45 97 0 0
GO 3755 45 97 0 0
GO 3756 45 97 0 0
GO 3796 8 31 37 66
GO 3824 45 97 0 0
GO 3841 44 97 1 0
GO 3844 44 77 1 20
GO 3848 45 96 0 1
GO 3849 45 97 0 0
GO 3850 45 96 0 1
GO 3852 45 97 0 0
GO 3855 45 96 0 1
GO 3856 45 97 0 0
GO 3857 45 97 0 0
GO 3861 45 96 0 1
GO 3862 45 94 0 3
GO 3864 45 97 0 0
GO 3866 45 97 0 0
GO 3867 45 53 0 44
GO 3871 45 74 0 23
GO 3879 44 97 1 0
GO 3882 44 96 1 1
GO 3883 45 97 0 0
GO 3886 0 10 45 87
GO 3887 45 97 0 0
GO 3899 45 97 0 0
GO 3904 45 84 0 13
GO 3906 45 97 0 0
GO 3909 45 97 0 0
GO 3910 43 92 2 5
GO 3911 45 96 0 1
GO 3913 45 84 0 13
GO 3916 45 97 0 0
GO 3917 45 96 0 1
GO 3918 45 97 0 0
GO 3919 45 97 0 0
GO 3920 0 7 45 90
GO 3921 45 97 0 0
GO 3922 45 97 0 0
GO 3924 45 97 0 0
GO 3933 45 97 0 0
GO 3934 45 97 0 0
GO 3935 45 96 0 1
GO 3938 44 97 1 0
GO 3941 6 52 39 45
GO 3942 45 95 0 2
GO 3949 45 97 0 0
GO 3951 45 96 0 1
GO 3952 14 35 31 62
GO 3954 45 97 0 0
GO 3955 0 2 45 95
GO 3962 45 97 0 0
GO 3963 13 1 32 96
GO 3964 0 1 45 96
GO 3977 45 97 0 0
GO 3978 1 21 44 76
GO 3979 1 0 44 97
GO 3984 45 96 0 1
GO 3985 45 97 0 0
GO 3987 45 97 0 0
GO 3988 45 97 0 0
GO 3989 45 56 0 41
GO 3991 45 96 0 1
GO 3992 45 97 0 0
GO 3994 45 97 0 0
GO 3995 45 97 0 0
GO 3996 0 1 45 96
GO 3998 45 63 0 34
GO 3999 45 97 0 0
GO 4000 45 73 0 24
GO 4003 45 97 0 0
GO 4004 45 97 0 0
GO 4008 2 0 43 97
GO 4013 0 1 45 96
GO 4015 45 97 0 0
GO 4016 45 94 0 3
GO 4017 43 96 2 1
GO 4019 45 94 0 3
GO 4020 45 65 0 32
GO 4021 45 95 0 2
GO 4022 45 97 0 0
GO 4029 21 63 24 34
GO 4033 45 93 0 4
GO 4034 45 89 0 8
GO 4035 0 1 45 96
GO 4037 0 4 45 93
GO 4038 0 4 45 93
GO 4042 45 96 0 1
GO 4044 45 97 0 0
GO 4045 45 97 0 0
GO 4047 45 97 0 0
GO 4048 45 94 0 3
GO 4049 45 97 0 0
GO 4055 45 95 0 2
GO 4056 45 94 0 3
GO 4057 44 96 1 1
GO 4066 45 96 0 1
GO 4067 45 95 0 2
GO 4068 45 95 0 2
GO 4069 45 97 0 0
GO 4070 44 97 1 0
GO 4071 45 96 0 1
GO 4072 45 97 0 0
GO 4073 45 97 0 0
GO 4075 0 24 45 73
GO 4076 45 97 0 0
GO 4077 45 97 0 0
GO 4084 0 41 45 56
GO 4087 45 97 0 0
GO 4088 45 97 0 0
GO 4089 45 97 0 0
GO 4096 44 74 1 23
GO 4099 1 26 44 71
GO 4106 45 97 0 0
GO 4107 45 97 0 0
GO 4108 45 97 0 0
GO 4109 45 97 0 0
GO 4112 45 97 0 0
GO 4114 44 97 1 0
GO 4115 44 97 1 0
GO 4121 43 97 2 0
GO 4122 0 1 45 96
GO 4123 45 97 0 0
GO 4124 45 97 0 0
GO 4125 37 34 8 63
GO 4126 45 96 0 1
GO 4127 45 97 0 0
GO 4129 1 2 44 95
GO 4130 0 1 45 96
GO 4131 0 18 45 79
GO 4139 45 97 0 0
GO 4140 45 96 0 1
GO 4141 45 97 0 0
GO 4143 0 1 45 96
GO 4145 21 3 24 94
GO 4146 45 96 0 1
GO 4148 45 97 0 0
GO 4149 45 97 0 0
GO 4150 45 97 0 0
GO 4151 23 93 22 4
GO 4152 45 97 0 0
GO 4155 45 72 0 25
GO 4156 45 96 0 1
GO 4158 45 97 0 0
GO 4161 44 96 1 1
GO 4165 45 97 0 0
GO 4170 45 96 0 1
GO 4175 45 97 0 0
GO 4176 45 97 0 0
GO 4177 45 97 0 0
GO 4180 45 97 0 0
GO 4185 45 97 0 0
GO 4197 0 1 45 96
GO 4222 45 97 0 0
GO 4252 45 97 0 0
GO 4298 44 96 1 1
GO 4300 45 97 0 0
GO 4308 0 1 45 96
GO 4309 45 97 0 0
GO 4311 45 97 0 0
GO 4312 45 97 0 0
GO 4314 45 97 0 0
GO 4315 45 97 0 0
GO 4316 45 97 0 0
GO 4318 44 96 1 1
GO 4321 0 1 45 96
GO 4322 45 97 0 0
GO 4324 45 97 0 0
GO 4325 45 97 0 0
GO 4326 45 97 0 0
GO 4329 45 63 0 34
GO 4333 45 97 0 0
GO 4335 1 47 44 50
GO 4337 44 96 1 1
GO 4342 27 3 18 94
GO 4345 45 97 0 0
GO 4346 45 96 0 1
GO 4349 45 97 0 0
GO 4350 44 97 1 0
GO 4351 0 9 45 88
GO 4353 0 8 45 89
GO 4354 0 8 45 89
GO 4355 45 96 0 1
GO 4356 45 97 0 0
GO 4357 45 97 0 0
GO 4358 45 95 0 2
GO 4359 45 94 0 3
GO 4360 43 97 2 0
GO 4362 45 96 0 1
GO 4363 45 96 0 1
GO 4364 0 5 45 92
GO 4365 45 96 0 1
GO 4366 45 97 0 0
GO 4367 45 97 0 0
GO 4368 0 4 45 93
GO 4370 44 96 1 1
GO 4372 45 96 0 1
GO 4373 42 75 3 22
GO 4375 45 97 0 0
GO 4385 45 97 0 0
GO 4386 45 97 0 0
GO 4396 45 96 0 1
GO 4397 43 93 2 4
GO 4399 45 97 0 0
GO 4400 45 96 0 1
GO 4401 43 96 2 1
GO 4411 45 92 0 5
GO 4412 45 97 0 0
GO 4413 45 96 0 1
GO 4416 45 97 0 0
GO 4417 0 2 45 95
GO 4418 45 97 0 0
GO 4422 45 96 0 1
GO 4424 43 96 2 1
GO 4425 45 96 0 1
GO 4427 22 5 23 92
GO 4451 45 71 0 26
GO 4455 42 96 3 1
GO 4456 45 97 0 0
GO 4457 45 94 0 3
GO 4458 0 3 45 94
GO 4462 45 96 0 1
GO 4470 45 97 0 0
GO 4471 45 97 0 0
GO 4473 45 97 0 0
GO 4474 45 96 0 1
GO 4475 0 5 45 92
GO 4477 45 97 0 0
GO 4478 45 97 0 0
GO 4479 44 96 1 1
GO 4486 45 97 0 0
GO 4488 45 97 0 0
GO 4489 45 86 0 11
GO 4494 0 2 45 95
GO 4497 45 95 0 2
GO 4505 45 95 0 2
GO 4514 45 96 0 1
GO 4515 45 97 0 0
GO 4516 0 2 45 95
GO 4518 45 97 0 0
GO 4519 45 97 0 0
GO 4520 45 97 0 0
GO 4521 45 97 0 0
GO 4523 45 97 0 0
GO 4525 45 97 0 0
GO 4526 44 96 1 1
GO 4527 45 97 0 0
GO 4529 45 97 0 0
GO 4532 45 97 0 0
GO 4534 45 97 0 0
GO 4536 45 97 0 0
GO 4540 45 97 0 0
GO 4549 44 96 1 1
GO 4550 45 96 0 1
GO 4551 43 97 2 0
GO 4553 45 97 0 0
GO 4556 0 1 45 96
GO 4558 0 27 45 70
GO 4563 45 96 0 1
GO 4568 37 33 8 64
GO 4585 45 96 0 1
GO 4586 44 33 1 64
GO 4588 44 97 1 0
