GO_term	term	CLIN2_Pr	NOCLIN_Pr	CLIN2_Abs	NOCLIN_Abs
GO	2759	0	1	22	96
GO	2760	0	1	22	96
GO	2784	0	1	22	96
GO	2788	0	1	22	96
GO	2790	22	97	0	0
GO	2804	0	1	22	96
GO	2805	0	1	22	96
GO	2807	0	1	22	96
GO	2810	0	1	22	96
GO	2831	0	1	22	96
GO	2833	0	1	22	96
GO	2920	0	1	22	96
GO	2922	0	1	22	96
GO	2935	22	96	0	1
GO	2937	22	95	0	2
GO	2938	0	65	22	32
GO	2939	22	96	0	1
GO	2943	22	97	0	0
GO	2949	22	97	0	0
GO	2953	22	83	0	14
GO	3006	0	3	22	94
GO	3333	22	97	0	0
GO	3382	0	1	22	96
GO	3674	22	97	0	0
GO	3676	22	97	0	0
GO	3677	22	97	0	0
GO	3678	22	97	0	0
GO	3681	22	95	0	2
GO	3684	22	97	0	0
GO	3688	22	97	0	0
GO	3690	22	97	0	0
GO	3697	22	97	0	0
GO	3700	22	97	0	0
GO	3723	22	97	0	0
GO	3724	22	97	0	0
GO	3725	22	97	0	0
GO	3727	22	97	0	0
GO	3729	22	97	0	0
GO	3730	22	97	0	0
GO	3735	22	97	0	0
GO	3743	22	97	0	0
GO	3746	22	97	0	0
GO	3747	22	97	0	0
GO	3755	22	97	0	0
GO	3756	22	97	0	0
GO	3796	4	31	18	66
GO	3824	22	97	0	0
GO	3841	22	97	0	0
GO	3844	22	77	0	20
GO	3848	22	96	0	1
GO	3849	22	97	0	0
GO	3850	22	96	0	1
GO	3852	22	97	0	0
GO	3855	22	96	0	1
GO	3856	22	97	0	0
GO	3857	22	97	0	0
GO	3861	22	96	0	1
GO	3862	22	94	0	3
GO	3864	22	97	0	0
GO	3866	22	97	0	0
GO	3867	22	53	0	44
GO	3871	22	74	0	23
GO	3879	21	97	1	0
GO	3882	21	96	1	1
GO	3883	22	97	0	0
GO	3886	0	10	22	87
GO	3887	22	97	0	0
GO	3899	22	97	0	0
GO	3904	22	84	0	13
GO	3906	22	97	0	0
GO	3909	22	97	0	0
GO	3910	21	92	1	5
GO	3911	22	96	0	1
GO	3913	22	84	0	13
GO	3916	22	97	0	0
GO	3917	22	96	0	1
GO	3918	22	97	0	0
GO	3919	22	97	0	0
GO	3920	0	7	22	90
GO	3921	22	97	0	0
GO	3922	22	97	0	0
GO	3924	22	97	0	0
GO	3933	22	97	0	0
GO	3934	22	97	0	0
GO	3935	22	96	0	1
GO	3938	22	97	0	0
GO	3941	0	52	22	45
GO	3942	22	95	0	2
GO	3949	22	97	0	0
GO	3951	22	96	0	1
GO	3952	13	35	9	62
GO	3954	22	97	0	0
GO	3955	0	2	22	95
GO	3962	22	97	0	0
GO	3963	0	1	22	96
GO	3964	0	1	22	96
GO	3977	22	97	0	0
GO	3978	0	21	22	76
GO	3979	1	0	21	97
GO	3984	22	96	0	1
GO	3985	22	97	0	0
GO	3987	22	97	0	0
GO	3988	22	97	0	0
GO	3989	22	56	0	41
GO	3991	22	96	0	1
GO	3992	22	97	0	0
GO	3994	22	97	0	0
GO	3995	22	97	0	0
GO	3996	0	1	22	96
GO	3998	22	63	0	34
GO	3999	22	97	0	0
GO	4000	22	73	0	24
GO	4003	22	97	0	0
GO	4004	22	97	0	0
GO	4008	1	0	21	97
GO	4013	0	1	22	96
GO	4015	22	97	0	0
GO	4016	22	94	0	3
GO	4017	21	96	1	1
GO	4019	22	94	0	3
GO	4020	22	65	0	32
GO	4021	22	95	0	2
GO	4022	22	97	0	0
GO	4029	0	63	22	34
GO	4033	22	93	0	4
GO	4034	22	89	0	8
GO	4035	0	1	22	96
GO	4037	0	4	22	93
GO	4038	0	4	22	93
GO	4042	22	96	0	1
GO	4044	22	97	0	0
GO	4045	22	97	0	0
GO	4047	22	97	0	0
GO	4048	22	94	0	3
GO	4049	22	97	0	0
GO	4055	22	95	0	2
GO	4056	22	94	0	3
GO	4057	21	96	1	1
GO	4066	22	96	0	1
GO	4067	22	95	0	2
GO	4068	22	95	0	2
GO	4069	22	97	0	0
GO	4070	22	97	0	0
GO	4071	22	96	0	1
GO	4072	22	97	0	0
GO	4073	22	97	0	0
GO	4075	0	24	22	73
GO	4076	22	97	0	0
GO	4077	22	97	0	0
GO	4084	0	41	22	56
GO	4087	22	97	0	0
GO	4088	22	97	0	0
GO	4089	22	97	0	0
GO	4096	22	74	0	23
GO	4099	0	26	22	71
GO	4106	22	97	0	0
GO	4107	22	97	0	0
GO	4108	22	97	0	0
GO	4109	22	97	0	0
GO	4112	22	97	0	0
GO	4114	21	97	1	0
GO	4115	21	97	1	0
GO	4121	22	97	0	0
GO	4122	0	1	22	96
GO	4123	22	97	0	0
GO	4124	22	97	0	0
GO	4125	14	34	8	63
GO	4126	22	96	0	1
GO	4127	22	97	0	0
GO	4129	0	2	22	95
GO	4130	0	1	22	96
GO	4131	0	18	22	79
GO	4139	22	97	0	0
GO	4140	22	96	0	1
GO	4141	22	97	0	0
GO	4143	0	1	22	96
GO	4145	0	3	22	94
GO	4146	22	96	0	1
GO	4148	22	97	0	0
GO	4149	22	97	0	0
GO	4150	22	97	0	0
GO	4151	22	93	0	4
GO	4152	22	97	0	0
GO	4155	22	72	0	25
GO	4156	22	96	0	1
GO	4158	22	97	0	0
GO	4161	21	96	1	1
GO	4165	22	97	0	0
GO	4170	22	96	0	1
GO	4175	22	97	0	0
GO	4176	22	97	0	0
GO	4177	22	97	0	0
GO	4180	22	97	0	0
GO	4185	22	97	0	0
GO	4197	0	1	22	96
GO	4222	22	97	0	0
GO	4252	22	97	0	0
GO	4298	21	96	1	1
GO	4300	22	97	0	0
GO	4308	0	1	22	96
GO	4309	22	97	0	0
GO	4311	22	97	0	0
GO	4312	22	97	0	0
GO	4314	22	97	0	0
GO	4315	22	97	0	0
GO	4316	22	97	0	0
GO	4318	22	96	0	1
GO	4321	0	1	22	96
GO	4322	22	97	0	0
GO	4324	22	97	0	0
GO	4325	22	97	0	0
GO	4326	22	97	0	0
GO	4329	22	63	0	34
GO	4333	22	97	0	0
GO	4335	0	47	22	50
GO	4337	21	96	1	1
GO	4342	6	3	16	94
GO	4345	22	97	0	0
GO	4346	22	96	0	1
GO	4349	22	97	0	0
GO	4350	21	97	1	0
GO	4351	0	9	22	88
GO	4353	0	8	22	89
GO	4354	0	8	22	89
GO	4355	22	96	0	1
GO	4356	22	97	0	0
GO	4357	22	97	0	0
GO	4358	22	95	0	2
GO	4359	22	94	0	3
GO	4360	22	97	0	0
GO	4362	22	96	0	1
GO	4363	22	96	0	1
GO	4364	0	5	22	92
GO	4365	22	96	0	1
GO	4366	22	97	0	0
GO	4367	22	97	0	0
GO	4368	0	4	22	93
GO	4370	21	96	1	1
GO	4372	22	96	0	1
GO	4373	22	75	0	22
GO	4375	22	97	0	0
GO	4385	22	97	0	0
GO	4386	22	97	0	0
GO	4396	22	96	0	1
GO	4397	21	93	1	4
GO	4399	22	97	0	0
GO	4400	22	96	0	1
GO	4401	22	96	0	1
GO	4411	22	92	0	5
GO	4412	22	97	0	0
GO	4413	22	96	0	1
GO	4416	22	97	0	0
GO	4417	0	2	22	95
GO	4418	22	97	0	0
GO	4422	22	96	0	1
GO	4424	22	96	0	1
GO	4425	22	96	0	1
GO	4427	0	5	22	92
GO	4451	22	71	0	26
GO	4455	22	96	0	1
GO	4456	22	97	0	0
GO	4457	22	94	0	3
GO	4458	0	3	22	94
GO	4462	22	96	0	1
GO	4470	22	97	0	0
GO	4471	22	97	0	0
GO	4473	22	97	0	0
GO	4474	22	96	0	1
GO	4475	0	5	22	92
GO	4477	22	97	0	0
GO	4478	22	97	0	0
GO	4479	21	96	1	1
GO	4486	22	97	0	0
GO	4488	22	97	0	0
GO	4489	22	86	0	11
GO	4494	0	2	22	95
GO	4497	22	95	0	2
GO	4505	22	95	0	2
GO	4514	22	96	0	1
GO	4515	22	97	0	0
GO	4516	0	2	22	95
GO	4518	22	97	0	0
GO	4519	22	97	0	0
GO	4520	22	97	0	0
GO	4521	22	97	0	0
GO	4523	22	97	0	0
GO	4525	22	97	0	0
GO	4526	21	96	1	1
GO	4527	22	97	0	0
GO	4529	22	97	0	0
GO	4532	22	97	0	0
GO	4534	22	97	0	0
GO	4536	22	97	0	0
GO	4540	22	97	0	0
GO	4549	21	96	1	1
GO	4550	22	96	0	1
GO	4551	21	97	1	0
GO	4553	22	97	0	0
GO	4556	0	1	22	96
GO	4558	0	27	22	70
GO	4563	22	96	0	1
GO	4568	21	33	1	64
GO	4585	22	96	0	1
GO	4586	21	33	1	64
GO	4588	21	97	1	0
GO	4590	22	97	0	0
GO	4591	22	96	0	1
GO	4592	22	97	0	0
GO	4594	22	97	0	0
GO	4595	21	97	1	0
GO	4596	21	97	1	0
GO	4601	22	97	0	0
GO	4604	22	96	0	1
GO	4605	21	97	1	0
GO	4609	21	97	1	0
GO	4611	22	96	0	1
GO	4612	22	94	0	3
GO	4614	22	97	0	0
GO	4615	22	96	0	1
GO	4617	22	97	0	0
GO	4618	22	97	0	0
GO	4619	22	97	0	0
GO	4620	22	97	0	0
GO	4622	22	97	0	0
GO	4632	22	97	0	0
GO	4633	22	97	0	0
GO	4634	22	97	0	0
GO	4635	22	97	0	0
GO	4636	22	97	0	0
GO	4637	22	96	0	1
GO	4638	22	82	0	15
GO	4639	22	95	0	2
GO	4640	22	96	0	1
GO	4641	22	97	0	0
GO	4642	22	97	0	0
GO	4643	22	97	0	0
GO	4644	22	97	0	0
GO	4645	22	97	0	0
GO	4647	22	97	0	0
GO	4648	22	97	0	0
GO	4652	21	97	1	0
GO	4654	22	97	0	0
GO	4655	22	45	0	52
GO	4659	22	97	0	0
GO	4664	22	96	0	1
GO	4672	22	97	0	0
GO	4673	22	97	0	0
GO	4674	22	97	0	0
GO	4713	2	7	20	90
GO	4719	22	97	0	0
GO	4721	22	97	0	0
GO	4722	0	0	22	97
GO	4725	2	5	20	92
GO	4729	22	97	0	0
GO	4730	0	26	22	71
GO	4731	22	97	0	0
GO	4733	22	96	0	1
GO	4735	22	97	0	0
GO	4738	22	96	0	1
GO	4742	22	80	0	17
GO	4743	22	97	0	0
GO	4746	22	96	0	1
GO	4747	22	74	0	23
GO	4748	22	97	0	0
GO	4749	21	97	1	0
GO	4750	22	96	0	1
GO	4751	22	97	0	0
GO	4756	22	92	0	5
GO	4764	22	97	0	0
GO	4765	22	97	0	0
GO	4766	0	16	22	81
GO	4774	22	97	0	0
GO	4775	22	97	0	0
GO	4779	22	66	0	31
GO	4781	22	66	0	31
GO	4783	22	97	0	0
GO	4784	22	96	0	1
GO	4787	21	93	1	4
GO	4791	22	97	0	0
GO	4792	22	97	0	0
GO	4793	22	96	0	1
GO	4794	22	96	0	1
GO	4795	22	96	0	1
GO	4797	22	97	0	0
GO	4798	22	96	0	1
GO	4799	22	97	0	0
GO	4801	22	97	0	0
GO	4802	0	6	22	91
GO	4803	4	10	18	87
GO	4805	0	1	22	96
GO	4806	0	19	22	78
GO	4807	22	97	0	0
GO	4808	22	97	0	0
GO	4810	21	97	1	0
GO	4812	22	97	0	0
GO	4813	22	97	0	0
GO	4814	22	97	0	0
GO	4815	22	97	0	0
GO	4816	22	97	0	0
GO	4817	22	97	0	0
GO	4818	22	96	0	1
GO	4819	22	97	0	0
GO	4820	22	96	0	1
GO	4821	21	97	1	0
GO	4822	22	97	0	0
GO	4823	22	97	0	0
GO	4825	22	97	0	0
GO	4826	22	95	0	2
GO	4827	22	96	0	1
GO	4828	22	97	0	0
GO	4829	22	97	0	0
GO	4830	22	96	0	1
GO	4831	22	97	0	0
GO	4832	22	97	0	0
GO	4833	0	17	22	80
GO	4834	22	97	0	0
GO	4838	22	96	0	1
GO	4842	0	3	22	94
GO	4844	21	97	1	0
GO	4845	22	96	0	1
GO	4849	22	97	0	0
GO	4850	22	97	0	0
GO	4852	22	97	0	0
GO	4853	22	95	0	2
GO	4854	0	7	22	90
GO	4856	0	9	22	88
GO	4857	22	97	0	0
GO	4866	22	91	0	6
GO	4867	22	91	0	6
GO	5048	22	94	0	3
GO	5085	22	97	0	0
GO	5096	22	97	0	0
GO	5102	0	1	22	96
GO	5126	0	1	22	96
GO	5160	0	1	22	96
GO	5179	0	1	22	96
GO	5198	22	97	0	0
GO	5215	22	97	0	0
GO	5216	22	97	0	0
GO	5261	22	97	0	0
GO	5262	0	61	22	36
GO	5267	22	97	0	0
GO	5275	0	28	22	69
GO	5283	22	96	0	1
GO	5294	22	91	0	6
GO	5295	22	96	0	1
GO	5300	22	97	0	0
GO	5302	0	6	22	91
GO	5304	0	1	22	96
GO	5310	22	96	0	1
GO	5315	22	97	0	0
GO	5319	22	97	0	0
GO	5326	22	63	0	34
GO	5337	22	97	0	0
GO	5342	22	97	0	0
GO	5343	22	96	0	1
GO	5345	0	13	22	84
GO	5350	22	94	0	3
GO	5351	0	5	22	92
GO	5372	22	50	0	47
GO	5375	2	0	20	97
GO	5381	22	97	0	0
GO	5384	0	3	22	94
GO	5385	22	97	0	0
GO	5402	0	27	22	70
GO	5416	22	96	0	1
GO	5451	22	97	0	0
GO	5452	0	1	22	96
GO	5469	22	80	0	17
GO	5488	22	97	0	0
GO	5504	22	97	0	0
GO	5506	22	97	0	0
GO	5507	22	97	0	0
GO	5509	22	96	0	1
GO	5515	22	97	0	0
GO	5524	22	97	0	0
GO	5525	22	97	0	0
GO	5527	22	97	0	0
GO	5528	22	97	0	0
GO	5534	18	12	4	85
GO	5539	21	97	1	0
GO	5542	22	97	0	0
GO	5543	22	97	0	0
GO	5545	0	1	22	96
GO	5575	22	97	0	0
GO	5576	22	97	0	0
GO	5615	8	14	14	83
GO	5618	22	97	0	0
GO	5622	22	97	0	0
GO	5623	22	97	0	0
GO	5628	0	2	22	95
GO	5634	22	97	0	0
GO	5654	1	1	21	96
GO	5655	21	96	1	1
GO	5657	22	97	0	0
GO	5658	22	96	0	1
GO	5694	22	97	0	0
GO	5730	21	96	1	1
GO	5737	22	97	0	0
GO	5739	1	3	21	94
GO	5740	0	2	22	95
GO	5743	0	2	22	95
GO	5746	0	2	22	95
GO	5747	0	1	22	96
GO	5750	0	1	22	96
GO	5751	0	2	22	95
GO	5753	0	1	22	96
GO	5759	1	1	21	96
GO	5761	0	1	22	96
GO	5762	0	1	22	96
GO	5768	1	1	21	96
GO	5769	0	1	22	96
GO	5770	1	0	21	97
GO	5773	0	1	22	96
GO	5794	1	1	21	96
GO	5802	1	1	21	96
GO	5829	22	97	0	0
GO	5840	22	97	0	0
GO	5844	22	94	0	3
GO	5856	22	97	0	0
GO	5886	22	97	0	0
GO	5887	22	97	0	0
GO	5929	0	0	22	97
GO	5933	0	2	22	95
GO	5935	0	2	22	95
GO	5948	22	96	0	1
GO	5950	22	97	0	0
GO	5951	22	97	0	0
GO	5960	22	97	0	0
GO	5971	22	97	0	0
GO	5975	22	97	0	0
GO	5976	22	97	0	0
GO	5977	22	97	0	0
GO	5978	22	97	0	0
GO	5979	22	94	0	3
GO	5981	22	95	0	2
GO	5984	22	96	0	1
GO	5985	22	96	0	1
GO	5986	22	96	0	1
GO	5991	0	1	22	96
GO	5992	0	1	22	96
GO	5996	22	97	0	0
GO	5997	0	9	22	88
GO	5998	0	9	22	88
GO	6000	22	97	0	0
GO	6001	22	97	0	0
GO	6002	22	97	0	0
GO	6006	22	97	0	0
GO	6012	22	97	0	0
GO	6014	22	97	0	0
GO	6015	21	97	1	0
GO	6020	22	96	0	1
GO	6022	22	97	0	0
GO	6023	22	97	0	0
GO	6024	22	97	0	0
GO	6026	22	97	0	0
GO	6027	22	97	0	0
GO	6029	1	0	21	97
GO	6030	21	37	1	60
GO	6031	0	2	22	95
GO	6032	21	35	1	62
GO	6037	0	2	22	95
GO	6038	0	2	22	95
GO	6040	22	97	0	0
GO	6044	18	5	4	92
GO	6046	0	2	22	95
GO	6047	22	97	0	0
GO	6048	22	97	0	0
GO	6050	0	5	22	92
GO	6051	0	5	22	92
GO	6053	0	5	22	92
GO	6054	0	5	22	92
GO	6063	0	3	22	94
GO	6064	0	1	22	96
GO	6066	22	97	0	0
GO	6067	22	97	0	0
GO	6071	22	97	0	0
GO	6072	22	97	0	0
