"","G","Gene","MC","WTC","MD","WTD","Fisher.p","phi","OR1","OR2"
"4445","GO",70189,22,0,1,22,5.83e-12,-0.957,"0.000",Inf
"4446","GO",70201,23,22,0,0,1,NA,"NaN",NA
"4447","GO",70204,23,22,0,0,1,NA,"NaN",NA
"4448","GO",70205,23,22,0,0,1,NA,"NaN",NA
"4449","GO",70206,23,22,0,0,1,NA,"NaN",NA
"4450","GO",70207,23,22,0,0,1,NA,"NaN",NA
"4451","GO",70279,23,22,0,0,1,NA,"NaN",NA
"4452","GO",70283,23,22,0,0,1,NA,"NaN",NA
"4453","GO",70301,23,22,0,0,1,NA,"NaN",NA
"4454","GO",70329,23,22,0,0,1,NA,"NaN",NA
"4455","GO",70401,23,22,0,0,1,NA,"NaN",NA
"4456","GO",70402,23,22,0,0,1,NA,"NaN",NA
"4457","GO",70403,23,22,0,0,1,NA,"NaN",NA
"4458","GO",70404,23,22,0,0,1,NA,"NaN",NA
"4459","GO",70417,23,22,0,0,1,NA,"NaN",NA
"4460","GO",70453,23,22,0,0,1,NA,"NaN",NA
"4461","GO",70469,23,22,0,0,1,NA,"NaN",NA
"4462","GO",70470,23,22,0,0,1,NA,"NaN",NA
"4463","GO",70475,23,22,0,0,1,NA,"NaN",NA
"4464","GO",70476,23,22,0,0,1,NA,"NaN",NA
"4465","GO",70482,3,0,20,22,0.233,-0.261,"0.000",Inf
"4466","GO",70525,23,22,0,0,1,NA,"NaN",NA
"4467","GO",70547,23,22,0,0,1,NA,"NaN",NA
"4468","GO",70548,21,22,2,0,0.489,0.211,"Inf",0
"4469","GO",70566,23,22,0,0,1,NA,"NaN",NA
"4470","GO",70567,23,22,0,0,1,NA,"NaN",NA
"4471","GO",70568,23,22,0,0,1,NA,"NaN",NA
"4472","GO",70569,23,22,0,0,1,NA,"NaN",NA
"4473","GO",70573,23,22,0,0,1,NA,"NaN",NA
"4474","GO",70574,23,22,0,0,1,NA,"NaN",NA
"4475","GO",70581,23,22,0,0,1,NA,"NaN",NA
"4476","GO",70588,16,0,7,22,4.95e-07,-0.726,"0.000",Inf
"4477","GO",70589,23,22,0,0,1,NA,"NaN",NA
"4478","GO",70592,0,0,23,22,1,NA,"NaN",NA
"4479","GO",70613,1,0,22,22,1,-0.147,"0.000",Inf
"4480","GO",70628,0,1,23,21,0.489,0.154,"Inf",0
"4481","GO",70647,0,0,23,22,1,NA,"NaN",NA
"4482","GO",70677,23,22,0,0,1,NA,"NaN",NA
"4483","GO",70689,21,22,2,0,0.489,0.211,"Inf",0
"4484","GO",70717,23,22,0,0,1,NA,"NaN",NA
"4485","GO",70727,23,22,0,0,1,NA,"NaN",NA
"4486","GO",70733,1,3,22,19,0.346,0.163,"3.470",0.288
"4487","GO",70739,23,22,0,0,1,NA,"NaN",NA
"4488","GO",70778,23,22,0,0,1,NA,"NaN",NA
"4489","GO",70813,22,20,1,2,0.608,-0.095,"0.455",2.2
"4490","GO",70814,22,20,1,2,0.608,-0.095,"0.455",2.2
"4491","GO",70818,23,22,0,0,1,NA,"NaN",NA
"4492","GO",70819,23,22,0,0,1,NA,"NaN",NA
"4493","GO",70838,23,22,0,0,1,NA,"NaN",NA
"4494","GO",70848,0,0,23,22,1,NA,"NaN",NA
"4495","GO",70873,23,22,0,0,1,NA,"NaN",NA
"4496","GO",70874,23,22,0,0,1,NA,"NaN",NA
"4497","GO",70875,23,22,0,0,1,NA,"NaN",NA
"4498","GO",70881,23,22,0,0,1,NA,"NaN",NA
"4499","GO",70887,23,22,0,0,1,NA,"NaN",NA
"4500","GO",70894,23,21,0,1,0.489,-0.154,"0.000",Inf
"4501","GO",70905,23,22,0,0,1,NA,"NaN",NA
"4502","GO",70925,23,22,0,0,1,NA,"NaN",NA
"4503","GO",70930,22,22,1,0,1,0.147,"Inf",0
"4504","GO",70968,1,0,22,22,1,-0.147,"0.000",Inf
"4505","GO",70972,23,22,0,0,1,NA,"NaN",NA
"4506","GO",70988,1,19,22,3,1.18e-08,0.825,"139.000",0.00718
"4507","GO",70992,23,22,0,0,1,NA,"NaN",NA
"4508","GO",71071,23,22,0,0,1,NA,"NaN",NA
"4509","GO",71072,23,22,0,0,1,NA,"NaN",NA
"4510","GO",71103,23,22,0,0,1,NA,"NaN",NA
"4511","GO",71111,0,0,23,22,1,NA,"NaN",NA
"4512","GO",71139,23,22,0,0,1,NA,"NaN",NA
"4513","GO",71172,23,22,0,0,1,NA,"NaN",NA
"4514","GO",71214,23,22,0,0,1,NA,"NaN",NA
"4515","GO",71215,0,0,23,22,1,NA,"NaN",NA
"4516","GO",71216,0,0,23,22,1,NA,"NaN",NA
"4517","GO",71218,23,22,0,0,1,NA,"NaN",NA
"4518","GO",71219,0,0,23,22,1,NA,"NaN",NA
"4519","GO",71229,23,22,0,0,1,NA,"NaN",NA
"4520","GO",71230,23,22,0,0,1,NA,"NaN",NA
"4521","GO",71236,23,22,0,0,1,NA,"NaN",NA
"4522","GO",71237,23,22,0,0,1,NA,"NaN",NA
"4523","GO",71241,23,22,0,0,1,NA,"NaN",NA
"4524","GO",71243,23,22,0,0,1,NA,"NaN",NA
"4525","GO",71248,23,22,0,0,1,NA,"NaN",NA
"4526","GO",71249,23,22,0,0,1,NA,"NaN",NA
"4527","GO",71250,23,22,0,0,1,NA,"NaN",NA
"4528","GO",71265,23,22,0,0,1,NA,"NaN",NA
"4529","GO",71267,23,22,0,0,1,NA,"NaN",NA
"4530","GO",71276,0,0,23,22,1,NA,"NaN",NA
"4531","GO",71280,23,22,0,0,1,NA,"NaN",NA
"4532","GO",71281,23,22,0,0,1,NA,"NaN",NA
"4533","GO",71288,23,22,0,0,1,NA,"NaN",NA
"4534","GO",71292,23,22,0,0,1,NA,"NaN",NA
"4535","GO",71310,23,22,0,0,1,NA,"NaN",NA
"4536","GO",71363,0,0,23,22,1,NA,"NaN",NA
"4537","GO",71396,0,0,23,22,1,NA,"NaN",NA
"4538","GO",71417,23,22,0,0,1,NA,"NaN",NA
"4539","GO",71421,0,0,23,22,1,NA,"NaN",NA
"4540","GO",71422,23,22,0,0,1,NA,"NaN",NA
"4541","GO",71424,23,22,0,0,1,NA,"NaN",NA
"4542","GO",71450,23,22,0,0,1,NA,"NaN",NA
"4543","GO",71451,23,22,0,0,1,NA,"NaN",NA
"4544","GO",71466,21,0,2,22,7.29e-11,-0.915,"0.000",Inf
"4545","GO",71467,23,22,0,0,1,NA,"NaN",NA
"4546","GO",71468,0,0,23,22,1,NA,"NaN",NA
"4547","GO",71470,23,22,0,0,1,NA,"NaN",NA
"4548","GO",71472,23,22,0,0,1,NA,"NaN",NA
"4549","GO",71474,23,22,0,0,1,NA,"NaN",NA
"4550","GO",71475,23,22,0,0,1,NA,"NaN",NA
"4551","GO",71478,23,22,0,0,1,NA,"NaN",NA
"4552","GO",71482,23,22,0,0,1,NA,"NaN",NA
"4553","GO",71495,23,22,0,0,1,NA,"NaN",NA
"4554","GO",71496,23,22,0,0,1,NA,"NaN",NA
"4555","GO",71500,4,8,19,14,0.189,0.214,"2.710",0.368
"4556","GO",71502,21,22,2,0,0.489,0.211,"Inf",0
"4557","GO",71518,0,0,23,22,1,NA,"NaN",NA
"4558","GO",71522,0,0,23,22,1,NA,"NaN",NA
"4559","GO",71545,23,22,0,0,1,NA,"NaN",NA
"4560","GO",71554,23,22,0,0,1,NA,"NaN",NA
"4561","GO",71555,23,22,0,0,1,NA,"NaN",NA
"4562","GO",71575,23,22,0,0,1,NA,"NaN",NA
"4563","GO",71577,23,22,0,0,1,NA,"NaN",NA
"4564","GO",71616,23,22,0,0,1,NA,"NaN",NA
"4565","GO",71617,22,22,1,0,1,0.147,"Inf",0
"4566","GO",71667,0,0,23,22,1,NA,"NaN",NA
"4567","GO",71702,23,22,0,0,1,NA,"NaN",NA
"4568","GO",71704,23,22,0,0,1,NA,"NaN",NA
"4569","GO",71705,23,22,0,0,1,NA,"NaN",NA
"4570","GO",71709,23,22,0,0,1,NA,"NaN",NA
"4571","GO",71723,23,22,0,0,1,NA,"NaN",NA
"4572","GO",71731,23,22,0,0,1,NA,"NaN",NA
"4573","GO",71732,0,1,23,21,0.489,0.154,"Inf",0
"4574","GO",71766,0,1,23,21,0.489,0.154,"Inf",0
"4575","GO",71770,0,1,23,21,0.489,0.154,"Inf",0
"4576","GO",71772,0,0,23,22,1,NA,"NaN",NA
"4577","GO",71773,0,0,23,22,1,NA,"NaN",NA
"4578","GO",71804,23,22,0,0,1,NA,"NaN",NA
"4579","GO",71805,23,22,0,0,1,NA,"NaN",NA
"4580","GO",71806,23,22,0,0,1,NA,"NaN",NA
"4581","GO",71807,1,2,22,20,0.608,0.095,"2.200",0.455
"4582","GO",71826,23,22,0,0,1,NA,"NaN",NA
"4583","GO",71840,23,22,0,0,1,NA,"NaN",NA
"4584","GO",71852,0,0,23,22,1,NA,"NaN",NA
"4585","GO",71890,22,22,1,0,1,0.147,"Inf",0
"4586","GO",71897,23,22,0,0,1,NA,"NaN",NA
"4587","GO",71915,0,0,23,22,1,NA,"NaN",NA
"4588","GO",71916,23,22,0,0,1,NA,"NaN",NA
"4589","GO",71932,23,22,0,0,1,NA,"NaN",NA
"4590","GO",71941,23,22,0,0,1,NA,"NaN",NA
"4591","GO",71944,23,22,0,0,1,NA,"NaN",NA
"4592","GO",71949,23,22,0,0,1,NA,"NaN",NA
"4593","GO",71951,23,21,0,1,0.489,-0.154,"0.000",Inf
"4594","GO",71963,23,22,0,0,1,NA,"NaN",NA
"4595","GO",71966,0,0,23,22,1,NA,"NaN",NA
"4596","GO",71972,23,22,0,0,1,NA,"NaN",NA
"4597","GO",71973,23,22,0,0,1,NA,"NaN",NA
"4598","GO",71975,23,22,0,0,1,NA,"NaN",NA
"4599","GO",71977,23,22,0,0,1,NA,"NaN",NA
"4600","GO",71978,23,22,0,0,1,NA,"NaN",NA
"4601","GO",72321,23,22,0,0,1,NA,"NaN",NA
"4602","GO",72322,23,22,0,0,1,NA,"NaN",NA
"4603","GO",72323,23,22,0,0,1,NA,"NaN",NA
"4604","GO",72329,23,22,0,0,1,NA,"NaN",NA
"4605","GO",72330,23,22,0,0,1,NA,"NaN",NA
"4606","GO",72331,0,0,23,22,1,NA,"NaN",NA
"4607","GO",72332,0,0,23,22,1,NA,"NaN",NA
"4608","GO",72337,23,22,0,0,1,NA,"NaN",NA
"4609","GO",72341,23,22,0,0,1,NA,"NaN",NA
"4610","GO",72344,23,22,0,0,1,NA,"NaN",NA
"4611","GO",72348,23,22,0,0,1,NA,"NaN",NA
"4612","GO",72349,23,21,0,1,0.489,-0.154,"0.000",Inf
"4613","GO",72350,23,22,0,0,1,NA,"NaN",NA
"4614","GO",72351,0,0,23,22,1,NA,"NaN",NA
"4615","GO",72488,23,22,0,0,1,NA,"NaN",NA
"4616","GO",72490,23,22,0,0,1,NA,"NaN",NA
"4617","GO",72491,23,22,0,0,1,NA,"NaN",NA
"4618","GO",72501,23,22,0,0,1,NA,"NaN",NA
"4619","GO",72502,23,22,0,0,1,NA,"NaN",NA
"4620","GO",72503,23,22,0,0,1,NA,"NaN",NA
"4621","GO",72505,23,22,0,0,1,NA,"NaN",NA
"4622","GO",72506,23,22,0,0,1,NA,"NaN",NA
"4623","GO",72507,23,22,0,0,1,NA,"NaN",NA
"4624","GO",72509,23,22,0,0,1,NA,"NaN",NA
"4625","GO",72511,23,22,0,0,1,NA,"NaN",NA
"4626","GO",72521,23,22,0,0,1,NA,"NaN",NA
"4627","GO",72522,23,22,0,0,1,NA,"NaN",NA
"4628","GO",72523,23,22,0,0,1,NA,"NaN",NA
"4629","GO",72524,23,22,0,0,1,NA,"NaN",NA
"4630","GO",72525,23,22,0,0,1,NA,"NaN",NA
"4631","GO",72526,23,22,0,0,1,NA,"NaN",NA
"4632","GO",72527,23,22,0,0,1,NA,"NaN",NA
"4633","GO",72528,23,22,0,0,1,NA,"NaN",NA
"4634","GO",72529,23,22,0,0,1,NA,"NaN",NA
